fire_id,usgs_gage,watershed_area_m2,burned_area_m2,na_l2name,mat_c,map_mm_yr
FL2913008165020160419,02234000,15621979889.847572,3433197.0320738,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2913008165020160419,02234500,8806084638.331383,3433197.0320738,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2913008165020160419,02234500,8102376218.031014,3433197.0320738,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2913008165020160419,02234500,6862394683.55095,3433197.0320738,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2913008165020160419,02234500,15621979889.847572,3433197.0320738,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2913008165020160419,02235500,8806084638.331383,3433197.0320738,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2913008165020160419,02235500,8102376218.031014,3433197.0320738,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2913008165020160419,02235500,381681.80472396937,3433197.0320738,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2913008165020160419,02235500,15621979889.847572,3433197.0320738,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2913008165020160419,02236000,8806084638.331383,3433197.0320738,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2913008165020160419,02236000,8102376218.031014,3433197.0320738,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2913008165020160419,02236000,15621979889.847572,3433197.0320738,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2913008165020160419,02236125,8806084638.331383,3433197.0320738,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2913008165020160419,02236125,15621979889.847572,3433197.0320738,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2914008155020160218,02234000,8806084638.331383,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2914008155020160218,02234000,8102376218.031014,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2914008155020160218,02234000,5436361574.512607,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2914008155020160218,02234000,6862394683.55095,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2914008155020160218,02234000,15621979889.847572,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2914008155020160218,02234500,8806084638.331383,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2914008155020160218,02234500,8102376218.031014,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2914008155020160218,02234500,6862394683.55095,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2914008155020160218,02234500,15621979889.847572,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2914008155020160218,02235500,8806084638.331383,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2914008155020160218,02235500,8102376218.031014,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2914008155020160218,02235500,381681.80472396937,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2914008155020160218,02235500,15621979889.847572,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2914008155020160218,02236000,8806084638.331383,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2914008155020160218,02236000,8102376218.031014,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2914008155020160218,02236000,15621979889.847572,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2914008155020160218,02236125,8806084638.331383,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2914008155020160218,02236125,15621979889.847572,4029934.020657193,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2929008171020160608,02234000,8806084638.331383,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2929008171020160608,02234000,8102376218.031014,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2929008171020160608,02234000,5436361574.512607,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2929008171020160608,02234000,6862394683.55095,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2929008171020160608,02234000,15621979889.847572,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2929008171020160608,02234500,8806084638.331383,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2929008171020160608,02234500,8102376218.031014,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2929008171020160608,02234500,6862394683.55095,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2929008171020160608,02234500,15621979889.847572,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2929008171020160608,02235500,8806084638.331383,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2929008171020160608,02235500,8102376218.031014,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2929008171020160608,02235500,381681.80472396937,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2929008171020160608,02235500,15621979889.847572,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2929008171020160608,02236000,8806084638.331383,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2929008171020160608,02236000,8102376218.031014,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2929008171020160608,02236000,15621979889.847572,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2929008171020160608,02236125,8806084638.331383,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2929008171020160608,02236125,15621979889.847572,3839379.5233738977,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2932008179020160608,02234000,8806084638.331383,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2932008179020160608,02234000,8102376218.031014,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2932008179020160608,02234000,5436361574.512607,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2932008179020160608,02234000,6862394683.55095,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2932008179020160608,02234000,15621979889.847572,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2932008179020160608,02234500,8806084638.331383,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2932008179020160608,02234500,8102376218.031014,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2932008179020160608,02234500,6862394683.55095,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2932008179020160608,02234500,15621979889.847572,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2932008179020160608,02235500,8806084638.331383,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2932008179020160608,02235500,8102376218.031014,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2932008179020160608,02235500,381681.80472396937,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2932008179020160608,02235500,15621979889.847572,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2932008179020160608,02236000,8806084638.331383,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2932008179020160608,02236000,8102376218.031014,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2932008179020160608,02236000,15621979889.847572,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2932008179020160608,02236125,8806084638.331383,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2932008179020160608,02236125,15621979889.847572,6552022.815599592,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2936008182020160610,02234000,8806084638.331383,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2936008182020160610,02234000,8102376218.031014,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2936008182020160610,02234000,5436361574.512607,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2936008182020160610,02234000,6862394683.55095,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2936008182020160610,02234000,15621979889.847572,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2936008182020160610,02234500,8806084638.331383,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2936008182020160610,02234500,8102376218.031014,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2936008182020160610,02234500,6862394683.55095,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2936008182020160610,02234500,15621979889.847572,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2936008182020160610,02235500,8806084638.331383,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2936008182020160610,02235500,8102376218.031014,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2936008182020160610,02235500,381681.80472396937,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2936008182020160610,02235500,15621979889.847572,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2936008182020160610,02236000,8806084638.331383,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2936008182020160610,02236000,8102376218.031014,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2936008182020160610,02236000,15621979889.847572,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2936008182020160610,02236125,8806084638.331383,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2936008182020160610,02236125,15621979889.847572,2703226.2844079817,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2865008102620160219,02234000,8806084638.331383,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2865008102620160219,02234000,8102376218.031014,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2865008102620160219,02234000,5436361574.512607,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2865008102620160219,02234000,6862394683.55095,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2865008102620160219,02234000,15621979889.847572,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,22.308333333333334,12615.735
FL2865008102620160219,02234500,8806084638.331383,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2865008102620160219,02234500,8102376218.031014,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2865008102620160219,02234500,6862394683.55095,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2865008102620160219,02234500,15621979889.847572,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2865008102620160219,02235500,8806084638.331383,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2865008102620160219,02235500,8102376218.031014,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2865008102620160219,02235500,381681.80472396937,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2865008102620160219,02235500,15621979889.847572,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2865008102620160219,02236000,8806084638.331383,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2865008102620160219,02236000,8102376218.031014,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2865008102620160219,02236000,15621979889.847572,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2865008102620160219,02236125,8806084638.331383,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
FL2865008102620160219,02236125,15621979889.847572,3752553.1584840016,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,21.934166666666666,13572.689999999999
GA3389108535220161120,02397530,11305688072.122662,22469.72838060004,OZARK/OUACHITA-APPALACHIAN FORESTS,16.218333333333334,14642.872500000001
MN4751509209720160506,04024000,8868835569.795185,3079440.973486139,MIXED WOOD SHIELD,4.9825,6267.69
CA3761912020720170716,11273400,17620324243.658234,147930485.00166053,MEDITERRANEAN CALIFORNIA,15.8875,3663.4575000000004
CA3812011994120170904,11285500,3279736242.91408,8696417.988956362,MEDITERRANEAN CALIFORNIA,10.530833333333334,7126.0275
CA3708211980720170610,11273400,17620324243.658234,6103759.427010192,MEDITERRANEAN CALIFORNIA,15.8875,3663.4575000000004
